Source,Target,Type,Id,Label,timeset,Weight,Disease/Disorder
1,2,Undirected,0,D1,,1,3-Methylcrotonyl-CoA Carboxylase Deficiency
3,4,Undirected,1,D2,,1,Alzheimer
3,5,Undirected,2,D2,,1,Alzheimer
3,6,Undirected,3,D2,,1,Alzheimer
3,7,Undirected,4,D2,,1,Alzheimer
3,8,Undirected,5,D2,,1,Alzheimer
3,9,Undirected,6,D2,,1,Alzheimer
3,10,Undirected,7,D2,,1,Alzheimer
4,5,Undirected,8,D2,,1,Alzheimer
4,6,Undirected,9,D2,,1,Alzheimer
4,7,Undirected,10,D2,,1,Alzheimer
4,8,Undirected,11,D2,,1,Alzheimer
4,9,Undirected,12,D2,,1,Alzheimer
4,10,Undirected,13,D2,,1,Alzheimer
5,6,Undirected,14,D2,,1,Alzheimer
5,7,Undirected,15,D2,,1,Alzheimer
5,8,Undirected,16,D2,,1,Alzheimer
5,9,Undirected,17,D2,,1,Alzheimer
5,10,Undirected,18,D2,,1,Alzheimer
6,7,Undirected,19,D2,,1,Alzheimer
6,8,Undirected,20,D2,,1,Alzheimer
6,9,Undirected,21,D2,,1,Alzheimer
6,10,Undirected,22,D2,,1,Alzheimer
7,8,Undirected,23,D2,,1,Alzheimer
7,9,Undirected,24,D2,,1,Alzheimer
7,10,Undirected,25,D2,,1,Alzheimer
8,9,Undirected,26,D2,,1,Alzheimer
8,10,Undirected,27,D2,,1,Alzheimer
9,10,Undirected,28,D2,,1,Alzheimer
11,12,Undirected,29,D4,,1,Attention Deficit Hyperactivity
11,13,Undirected,30,D4,,1,Attention Deficit Hyperactivity
11,14,Undirected,31,D4,,1,Attention Deficit Hyperactivity
11,15,Undirected,32,D4,,1,Attention Deficit Hyperactivity
11,16,Undirected,33,D4,,1,Attention Deficit Hyperactivity
11,17,Undirected,34,D4,,1,Attention Deficit Hyperactivity
11,18,Undirected,35,D4,,1,Attention Deficit Hyperactivity
11,19,Undirected,36,D4,,1,Attention Deficit Hyperactivity
12,13,Undirected,37,D4,,1,Attention Deficit Hyperactivity
12,14,Undirected,38,D4,,1,Attention Deficit Hyperactivity
12,15,Undirected,39,D4,,1,Attention Deficit Hyperactivity
12,16,Undirected,40,D4,,1,Attention Deficit Hyperactivity
12,17,Undirected,41,D4,,1,Attention Deficit Hyperactivity
12,18,Undirected,42,D4,,1,Attention Deficit Hyperactivity
12,19,Undirected,43,D4,,1,Attention Deficit Hyperactivity
13,14,Undirected,44,D4,,1,Attention Deficit Hyperactivity
13,15,Undirected,45,D4,,1,Attention Deficit Hyperactivity
13,16,Undirected,46,D4,,1,Attention Deficit Hyperactivity
13,17,Undirected,47,D4,,1,Attention Deficit Hyperactivity
13,18,Undirected,48,D4,,1,Attention Deficit Hyperactivity
13,19,Undirected,49,D4,,1,Attention Deficit Hyperactivity
14,15,Undirected,50,D4,,1,Attention Deficit Hyperactivity
14,16,Undirected,51,D4,,1,Attention Deficit Hyperactivity
14,17,Undirected,52,D4,,1,Attention Deficit Hyperactivity
